cell_id,czi,series_id,cell_seg_id,condition
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_1,20180924_R04.czi,0,1,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_2,20180924_R04.czi,0,2,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_3,20180924_R04.czi,0,3,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_4,20180924_R04.czi,0,4,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_5,20180924_R04.czi,0,5,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_6,20180924_R04.czi,0,6,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_7,20180924_R04.czi,0,7,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_8,20180924_R04.czi,0,8,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_9,20180924_R04.czi,0,9,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_10,20180924_R04.czi,0,10,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_11,20180924_R04.czi,0,11,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_12,20180924_R04.czi,0,12,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_13,20180924_R04.czi,0,13,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-01-P15-B01_seg_0_cid_14,20180924_R04.czi,0,14,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_1,20180924_R04.czi,1,1,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_2,20180924_R04.czi,1,2,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_3,20180924_R04.czi,1,3,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_4,20180924_R04.czi,1,4,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_5,20180924_R04.czi,1,5,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_6,20180924_R04.czi,1,6,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_7,20180924_R04.czi,1,7,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_8,20180924_R04.czi,1,8,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_9,20180924_R04.czi,1,9,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_10,20180924_R04.czi,1,10,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_11,20180924_R04.czi,1,11,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_12,20180924_R04.czi,1,12,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_13,20180924_R04.czi,1,13,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_14,20180924_R04.czi,1,14,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_15,20180924_R04.czi,1,15,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-02-P11-B01_seg_0_cid_16,20180924_R04.czi,1,16,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-03-P12-B01_seg_0_cid_1,20180924_R04.czi,2,1,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-03-P12-B01_seg_0_cid_2,20180924_R04.czi,2,2,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-03-P12-B01_seg_0_cid_3,20180924_R04.czi,2,3,TSA-50nm
/allen/aics/assay-dev/MicroscopyOtherData/Jianxu/Nucleus/segmentation/20180924_R04/shape/20180924_R04-Scene-03-P12-B01_seg_0_cid_4,20180924_R04.czi,2,4,TSA-50nm
