cell_id,czi,series_id,cell_seg_id,condition,cell_type,structure,scope,minipipeline
20181016_R02-Scene-01-P58-C04_seg_0_cid_1,20181016_R02.czi,0,1,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_2,20181016_R02.czi,0,2,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_3,20181016_R02.czi,0,3,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_4,20181016_R02.czi,0,4,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_5,20181016_R02.czi,0,5,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_6,20181016_R02.czi,0,6,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_7,20181016_R02.czi,0,7,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_8,20181016_R02.czi,0,8,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_9,20181016_R02.czi,0,9,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_10,20181016_R02.czi,0,10,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_11,20181016_R02.czi,0,11,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_12,20181016_R02.czi,0,12,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_13,20181016_R02.czi,0,13,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_14,20181016_R02.czi,0,14,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_15,20181016_R02.czi,0,15,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-01-P58-C04_seg_0_cid_16,20181016_R02.czi,0,16,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_1,20181016_R02.czi,1,1,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_2,20181016_R02.czi,1,2,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_3,20181016_R02.czi,1,3,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_4,20181016_R02.czi,1,4,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_5,20181016_R02.czi,1,5,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_6,20181016_R02.czi,1,6,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_7,20181016_R02.czi,1,7,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_8,20181016_R02.czi,1,8,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_9,20181016_R02.czi,1,9,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_10,20181016_R02.czi,1,10,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_11,20181016_R02.czi,1,11,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_12,20181016_R02.czi,1,12,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_13,20181016_R02.czi,1,13,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_14,20181016_R02.czi,1,14,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_15,20181016_R02.czi,1,15,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_16,20181016_R02.czi,1,16,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_17,20181016_R02.czi,1,17,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_18,20181016_R02.czi,1,18,Control,hiPS,CBX1,ZSD,no
20181016_R02-Scene-02-P59-C04_seg_0_cid_19,20181016_R02.czi,1,19,Control,hiPS,CBX1,ZSD,no
