cell_id,czi,series_id,cell_seg_id,condition,cell_type,structure,scope,minipipeline
20180817_R04-Scene-01-P34-B02_seg_0_cid_1,20180817_R04.czi,0,1,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_2,20180817_R04.czi,0,2,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_3,20180817_R04.czi,0,3,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_4,20180817_R04.czi,0,4,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_5,20180817_R04.czi,0,5,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_6,20180817_R04.czi,0,6,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_7,20180817_R04.czi,0,7,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_8,20180817_R04.czi,0,8,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_9,20180817_R04.czi,0,9,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_10,20180817_R04.czi,0,10,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_11,20180817_R04.czi,0,11,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_12,20180817_R04.czi,0,12,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_13,20180817_R04.czi,0,13,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-01-P34-B02_seg_0_cid_14,20180817_R04.czi,0,14,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_1,20180817_R04.czi,1,1,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_2,20180817_R04.czi,1,2,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_3,20180817_R04.czi,1,3,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_4,20180817_R04.czi,1,4,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_5,20180817_R04.czi,1,5,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_6,20180817_R04.czi,1,6,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_7,20180817_R04.czi,1,7,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_8,20180817_R04.czi,1,8,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_9,20180817_R04.czi,1,9,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_10,20180817_R04.czi,1,10,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_11,20180817_R04.czi,1,11,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_12,20180817_R04.czi,1,12,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_13,20180817_R04.czi,1,13,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_14,20180817_R04.czi,1,14,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_15,20180817_R04.czi,1,15,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_16,20180817_R04.czi,1,16,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_17,20180817_R04.czi,1,17,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-02-P35-B02_seg_0_cid_18,20180817_R04.czi,1,18,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-03-P32-B02_seg_0_cid_1,20180817_R04.czi,2,1,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-03-P32-B02_seg_0_cid_2,20180817_R04.czi,2,2,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-03-P32-B02_seg_0_cid_3,20180817_R04.czi,2,3,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-03-P32-B02_seg_0_cid_4,20180817_R04.czi,2,4,Control,hiPS,H2B,ZSD,no
20180817_R04-Scene-03-P32-B02_seg_0_cid_5,20180817_R04.czi,2,5,Control,hiPS,H2B,ZSD,no
