dna_bright_spots_intensity_mean,dna_bright_spots_number,dna_bright_spots_number_used,dna_bright_spots_xy_cross_sec_area_mean,dna_bright_spots_xy_cross_sec_area_std,dna_intensity_entropy,dna_intensity_max,dna_intensity_mean,dna_intensity_median,dna_intensity_mode,dna_intensity_std,dna_intensity_sum,dna_io_intensity_inner_mean,dna_io_intensity_inner_slice_mean,dna_io_intensity_inner_volume,dna_io_intensity_mid_mean,dna_io_intensity_mid_slice_mean,dna_io_intensity_mid_volume,dna_io_intensity_outer_mean,dna_io_intensity_outer_slice_mean,dna_io_intensity_outer_volume,dna_position_highest_z,dna_position_lowest_z,dna_position_x_centroid,dna_position_y_centroid,dna_position_z_centroid,dna_roundness_roughness,dna_roundness_roughness_xy,dna_roundness_roughness_xz,dna_roundness_roughness_yz,dna_roundness_sphericity,dna_shape_1st_axis_length,dna_shape_1st_axis_x,dna_shape_1st_axis_y,dna_shape_1st_axis_z,dna_shape_1st_eigenvalue,dna_shape_2nd_axis_length,dna_shape_2nd_axis_x,dna_shape_2nd_axis_y,dna_shape_2nd_axis_z,dna_shape_2nd_eigenvalue,dna_shape_3rd_axis_length,dna_shape_3rd_axis_x,dna_shape_3rd_axis_y,dna_shape_3rd_axis_z,dna_shape_3rd_eigenvalue,dna_shape_equator_eccentricity,dna_shape_meridional_eccentricity,dna_surface_area,dna_texture_distance_used,dna_texture_haralick_ang2nd_moment,dna_texture_haralick_contrast,dna_texture_haralick_corr,dna_texture_haralick_diff_entropy,dna_texture_haralick_diff_var,dna_texture_haralick_entropy,dna_texture_haralick_info_corr1,dna_texture_haralick_info_corr2,dna_texture_haralick_inv_diff_moment,dna_texture_haralick_sum_entropy,dna_texture_haralick_sum_mean,dna_texture_haralick_sum_var,dna_texture_haralick_variance,dna_volume,cell_id
13166.67217630854,1,1,363.0,0.0,7.95801978396945,14757,11288.140700921049,11822.0,11995,2040.8548494566833,48498412860,11947.53564963702,12008.448888888888,2796985,11731.217840844613,12015.387901572112,412402,9281.805225312093,11385.633175994606,487435,122,0,157.63488768747072,117.22760010464565,59.16258619999423,33.48836134296665,33.72000218010289,35.71492132562352,11.69103032571491,0.8980514134462964,348.56760633499744,0.9272400094918946,0.3728009518374184,0.0352904393084911,761.3297036798242,185.88014586794782,0.3608493397990638,-0.8643583065371697,-0.35024630174603677,1607.5425680311782,128.03800761463586,0.10006857031081794,-0.33749691588118397,0.9359925817049182,7481.039903069019,0.8807408741768317,0.9948081699473814,213090,"[1, 4, 7, 10, 13, 16]","[0.002853393224144563, 0.0011855878194240313, 0.001025444635191631, 0.0009555072098248377, 0.0009127227718644446, 0.000881811146877038]","[220.18957770363312, 641.2318682006972, 811.658426758529, 902.7547839900652, 979.2375832054297, 1055.3099021023072]","[0.843169504349498, 0.4862161507397226, 0.3164223339569857, 0.2558962783314709, 0.21535908503158013, 0.1540433580282155]","[3.122474994261678, 4.470725928823092, 4.791355987076345, 4.958652086017024, 5.058098337490989, 5.152005596779674]","[0.0006348812174177825, 0.0002450948780187027, 0.00019501790292092704, 0.00017203740563568722, 0.00015888530170540542, 0.00014888654344583197]","[9.357538478030078, 10.611419253364888, 10.831720145976963, 10.944947481758122, 11.01649082941003, 11.068316640004777]","[-0.3591641258087813, -0.10754677008245718, -0.05849761355505929, -0.037157871347308476, -0.02640128124080508, -0.019775142586865045]","[0.9890618837138673, 0.8177714063011394, 0.6663440070756985, 0.5490821621846851, 0.4662335554543126, 0.39869120066502095]","[0.33475281923174816, 0.14979877387006066, 0.12371604227878362, 0.11124894528155378, 0.1038679742493047, 0.09852223580252299]","[6.714960036546037, 6.565561537739071, 6.485377574537545, 6.440740737307404, 6.413195009988048, 6.394017318807505]","[377.0306593735885, 379.6213274124767, 380.79821497413104, 381.10475062869017, 381.15748031333686, 381.2515427845202]","[2736.4637549597514, 1969.2456142739998, 1649.1067275469384, 1574.6768908859901, 1546.0207712211077, 1462.5995480407996]","[739.1633331658438, 652.6193706186762, 615.1912885763662, 619.3579187190134, 631.3145886066352, 629.4773625357775]",4296404,20181023_J01_010_Out_seg_0_cid_1
13001.603440156328,11,11,379.72727272727275,124.81702310261348,7.856113365659044,15693,11304.047169652857,11744.0,11824,1899.5561323676502,83448782232,11852.454342512674,11884.19423569976,5259455,11644.545957026801,11996.2975,592695,9055.422966796259,10828.571727435745,685224,144,0,136.19759166774583,158.68014457470966,69.33094398366667,23.08027661189118,11.758248303217755,21.473855850816072,29.97537292257037,0.9619613820785334,330.78943989436436,0.28919201477704193,-0.9565404282851562,0.037395021663921314,1238.6828227999972,270.26999800727384,-0.9511442997578258,-0.2915344066673781,-0.10164748283796829,3749.623928391877,154.86655495289955,-0.10813186222104358,0.006172421336032257,0.9941173982923042,5606.454644808191,0.9438590129845009,0.975287695560112,285596,"[1, 4, 7, 10, 13, 16]","[0.0031389725361605373, 0.001297179313982619, 0.0011202445604462361, 0.0010442864618787633, 0.0010001204360167626, 0.0009707469707211498]","[137.60606971018234, 388.8917217636714, 502.2238321266263, 562.4181548971549, 612.9813321432068, 660.672820326563]","[0.842674417904396, 0.5141986983891585, 0.33969207003669233, 0.2731283029582939, 0.22303999376840558, 0.16124217478099093]","[3.00322829767832, 4.326119091829316, 4.637651761009961, 4.803033457175981, 4.902435256552234, 4.982524273794094]","[0.0006628584010603679, 0.00025855568241051204, 0.00020723898970794122, 0.00018358633687064153, 0.0001703243326809403, 0.0001609957381748501]","[9.157708054660784, 10.408713502117624, 10.625072451739173, 10.736739067674645, 10.801125562706906, 10.84224905916691]","[-0.3507111000686058, -0.10051363376400357, -0.05254611900973252, -0.03162941124478845, -0.021314996477039588, -0.015539583287893174]","[0.9866195659098798, 0.7965415270875033, 0.6341599456447415, 0.5049402976908179, 0.41112927049868786, 0.3404358074798879]","[0.3424039758991218, 0.1542084013249978, 0.1281775735174005, 0.11587803126924247, 0.10857944305737048, 0.10382748446606516]","[6.559097685771329, 6.415456653649209, 6.335508711568204, 6.287049485434819, 6.253202423697024, 6.228185223892581]","[336.5761669960739, 338.248114568988, 339.1172236975586, 339.3869397589746, 339.4833657610062, 339.55964057836655]","[1722.9751568175025, 1289.551376847098, 1081.4638328791111, 1023.505598134875, 989.0983511925677, 933.9538879985798]","[465.1453066319213, 419.61077465269017, 395.92191625142925, 396.480938258008, 400.5199208339422, 398.65667708128603]",7382204,20181023_J01_010_Out_seg_0_cid_2
12775.615649104118,21,21,328.0,83.33466665600017,7.872294430873842,15278,11150.010769992245,11633.0,11726,1980.128670519486,92766707005,11760.581502528295,11802.016400454455,5724804,11520.721801852962,11866.598945981556,732557,8815.73638758642,10888.850138994187,834312,122,0,206.3676557198689,152.83789926676792,62.210515156716276,38.15917141413989,24.73699880952147,48.34270402117456,28.53597381876028,0.8939096771337015,404.2906090163472,0.9513858740792211,-0.3073501559243356,0.02001999639866967,876.9117248638237,278.12818498115666,-0.304236272416362,-0.9479006019506969,-0.09447083871599547,3955.8199968901063,126.54130405215089,-0.04801259364701374,-0.08378741238869428,0.9953263084920912,9942.517222367778,0.975120298907634,0.9961029487814739,332730,"[1, 4, 7, 10, 13, 16]","[0.003015359915928698, 0.0012432650605847984, 0.0010727395035226872, 0.0010027807125533204, 0.000962473679131439, 0.0009342310532459761]","[157.60988632183734, 468.71370345018533, 598.4741114538339, 670.7045988635186, 734.547423371275, 795.4867768227512]","[0.8482088805423508, 0.5023766807371399, 0.3393617872673659, 0.27741618332991097, 0.22838463850147095, 0.1705505558837667]","[3.060905989420796, 4.404480875300956, 4.726227379107228, 4.895909704743243, 4.999204853132126, 5.082158074810309]","[0.0006452272111122172, 0.0002493254016311972, 0.00019842990571635258, 0.0001755393909613529, 0.000162587527161699, 0.00015348062043280436]","[9.256655933573628, 10.517175022879506, 10.737458449150981, 10.850059604455812, 10.916767582461034, 10.962938392664073]","[-0.35281237887571704, -0.10109206760855376, -0.05259781646584752, -0.03212974532716505, -0.022259533060495627, -0.016779569080406266]","[0.9875383513296524, 0.797422375438424, 0.6276555994829756, 0.49426375197014766, 0.3993617740873387, 0.33032278295142015]","[0.33673648230248826, 0.15057483072323027, 0.12430539284763159, 0.11251145463021664, 0.10542824605756625, 0.10070082267965264]","[6.627732280942747, 6.481450443372726, 6.396311538416244, 6.3448928983203, 6.311479321362264, 6.2905471811090665]","[342.2558197771484, 344.19036650350483, 345.11586801777685, 345.40974486928855, 345.5296057752819, 345.60817954542597]","[2067.9565306560376, 1540.5100044553155, 1317.3236908119445, 1256.5801592191654, 1217.3961508014281, 1159.3058416793715]","[556.3916042444683, 502.30592697637815, 478.9494505664443, 481.82118952066764, 487.9858935431786, 488.6981546255296]",8319876,20181023_J01_010_Out_seg_0_cid_3
12416.94981005153,8,8,521.0,7.858116822750856,7.900042288606825,13897,11246.05681489983,11757.0,11899,2013.9170901408063,47660878750,11879.233842024303,11943.39609473419,2819459,11627.62240385196,11979.271917808219,397512,9148.17474589694,11394.234317343173,457098,108,0,162.9556046142433,92.09641793974905,50.28132934152083,29.813126937822197,26.389971396662503,38.48084655850946,12.041528065359982,0.9532831109121078,328.8904932723017,0.9983491208242637,0.05263291352614441,0.022995855347624865,749.4800841400838,181.21087528704643,0.053977243295071906,-0.9965913992030581,-0.06238621835594308,1787.5028481950578,114.32378893371225,-0.019633903220809063,-0.0635244791260835,0.9977871267941251,6493.903598663123,0.9078528664761323,0.9933176069564684,198640,"[1, 4, 7, 10, 13, 16]","[0.001788315165438313, 0.0007331713999193486, 0.0006309819682151833, 0.0005869966593168383, 0.0005609446091947793, 0.0005431409361300352]","[229.77084231917155, 599.8995481589271, 778.7689700678184, 874.8422369582776, 952.3934634120019, 1035.7888025224447]","[0.8261944817622016, 0.5194204601209321, 0.34944574259323313, 0.2858342961332044, 0.24927336721076404, 0.18396800079630757]","[3.3639579988747177, 4.703786969631125, 5.01620378778211, 5.179867396579026, 5.277609106487494, 5.364072940470294]","[0.0005195663883792997, 0.0001950741653013735, 0.00015482359332150085, 0.0001364198664054388, 0.000126120813699452, 0.00011842210763104221]","[9.932799333647173, 11.18129483590617, 11.390506431988852, 11.50172978052527, 11.567303356532664, 11.610721613925051]","[-0.3275363173217431, -0.09346434007851968, -0.04930720580614364, -0.030667850753941236, -0.02182073607908895, -0.01629790128111269]","[0.9866082868906444, 0.7952377705411229, 0.6311585920880567, 0.5053846390822455, 0.4213916448802157, 0.34767520285531506]","[0.27902503058968114, 0.12023496267146053, 0.09893965596811524, 0.08893777982751991, 0.0832292125689284, 0.079070191726717]","[6.948909789011858, 6.803136940543998, 6.718004885636216, 6.6692104986679075, 6.637186143687296, 6.611534553087984]","[383.7459521387884, 385.9469859601731, 387.163156870419, 387.54611981443367, 387.6213040936269, 387.74307150118597]","[2620.2932122046614, 2028.6904839885449, 1730.5465599899157, 1655.8718170431182, 1637.8818031153776, 1549.199278216462]","[712.5160136309552, 657.1475080368635, 627.3288825144319, 632.678513500352, 647.5688166318415, 646.247020184728]",4238008,20181023_J01_010_Out_seg_0_cid_4
12642.93105726286,3,3,450.6666666666667,91.04699641149925,7.805774309267825,14839,11003.15505520965,11511.0,11660,2015.5898207244425,48859818111,11612.242238992316,11653.903111131764,2938697,11488.315218636077,11864.314886164624,419144,8889.559783672015,10960.755578093307,485559,104,0,115.49861097599205,151.62103785856095,47.68721737595169,24.71762696570376,14.098085943231531,21.325562822208397,34.22526795861778,0.9583195510308694,303.7058077581516,0.11361432341164715,0.9933109417313755,0.02061937323106423,695.8596828063854,229.30434723001244,0.9934868194355551,-0.1137672723364106,0.006399011873530074,2743.991490322824,105.6243803447319,-0.008702018360030954,-0.019758056125570463,0.9997669198841299,4984.254555522,0.9673107570779017,0.9902063447053724,203980,"[1, 4, 7, 10, 13, 16]","[0.002846776143266981, 0.0011685310842645918, 0.001007194047892929, 0.0009394063666803389, 0.0008995538410650074, 0.0008727780223665298]","[178.4644331388427, 481.02220435320544, 610.3625765724181, 679.9667465771951, 738.4390926077538, 797.1989014609776]","[0.820874718155899, 0.481855546516563, 0.31962664798123686, 0.259941744142239, 0.22332512523471976, 0.16657358045678938]","[3.1133769996808045, 4.444581822757979, 4.746268744037844, 4.902302258332039, 5.000513129754608, 5.082377842946692]","[0.0006227937788438636, 0.000240710270676985, 0.0001930927606422444, 0.00017171600383647975, 0.00015932258445470026, 0.0001503675028530661]","[9.297642176477144, 10.539186713734406, 10.742579665789872, 10.847769467916963, 10.911535962563365, 10.954223100977194]","[-0.3393401327452154, -0.0912122210647789, -0.04715564763336329, -0.029660894686222832, -0.021472163759029658, -0.016767050976573404]","[0.985182145262397, 0.7697827744618867, 0.5958676303640866, 0.47125321038864254, 0.391377485277146, 0.33204751135681665]","[0.3264173904453358, 0.14549017429498634, 0.1205100573552181, 0.1089440091112537, 0.10210657827620885, 0.09712421077144674]","[6.610706836929477, 6.461151870961509, 6.379011488791384, 6.334289285494482, 6.304484693360044, 6.282867367315974]","[345.58152353623143, 347.4219659671537, 348.2533951803732, 348.43697499799566, 348.3773486453731, 348.32370436764785]","[1978.0020951222743, 1498.7699185397337, 1288.923125645588, 1232.6943921911811, 1213.504552359808, 1156.9021503080014]","[539.1166320652782, 494.94803072323367, 474.8214255545015, 478.16528469209237, 487.98591124188533, 488.5252629422413]",4440528,20181023_J01_010_Out_seg_0_cid_5
13095.296228659601,8,8,305.125,129.49945704519382,7.860696540791306,15101,11431.21323397945,11862.0,12006,1843.0281588792461,65213471130,11949.24871633211,11974.249297987995,4006488,11765.75001372356,12001.72634643377,473638,9491.486875309502,11303.228561176893,547251,152,0,142.9381821815084,102.45833307039962,77.13345252994814,19.412696381820027,15.474113228522393,25.175834017617465,14.354198469297241,0.9895806300699029,289.3052562017442,0.9945466075697309,-0.10412506023066521,0.00591753356561294,1243.2399897378832,236.17603296002284,-0.09403064219145024,-0.91978256768915,-0.38099641271830564,2601.310991771141,162.93425362587473,-0.04511411863932717,-0.3783622602838638,0.9245575786787334,4752.433025748822,0.8783988816581974,0.9651761774711827,233712,"[1, 4, 7, 10, 13, 16]","[0.002608046281187565, 0.0010958595442221127, 0.0009583317532649201, 0.0008991931635228388, 0.0008628325093589186, 0.000834288102638375]","[155.16816974118152, 422.57133315931566, 547.1671350792766, 613.9031076076789, 667.1947637009193, 720.1793422183589]","[0.8342739280282552, 0.5120314073134344, 0.33457256373930555, 0.26475481544201923, 0.22008490402824835, 0.1550099694564411]","[3.137029062697937, 4.465404099977684, 4.777727119789885, 4.940143508722239, 5.0386539776284485, 5.121935914875268]","[0.0006045298240655487, 0.00023166584503090618, 0.00018549033725660672, 0.00016480742231269905, 0.0001530423863264322, 0.0001441896318345407]","[9.431756358401303, 10.667323696208655, 10.876024157399721, 10.982436922564286, 11.047017737705394, 11.093271616709607]","[-0.33460941128502414, -0.09376134940312442, -0.048530627450171955, -0.029695712324623605, -0.020474680476873168, -0.014680412369687115]","[0.9851775138502095, 0.785284167686479, 0.6205115350655261, 0.49890164220207434, 0.41607283918732235, 0.3463872466816878]","[0.3166423896467735, 0.1397408262766812, 0.11625629823797458, 0.10549505655362931, 0.09947764077283944, 0.09504300102161967]","[6.667305918991357, 6.50731067595129, 6.420858779447168, 6.371841241318387, 6.340876462815038, 6.320985619863951]","[354.8432729081709, 356.5601810086247, 357.4719702098424, 357.7466848994385, 357.8086929815447, 357.8827270036753]","[1826.0584548241918, 1373.4611251222266, 1152.0538005861913, 1091.0215517782076, 1064.63767001177, 1001.4139852328651]","[495.3066561413412, 449.0081145703852, 424.8052339163671, 426.23116484647585, 432.95810842817224, 430.3983318628069]",5704860,20181023_J01_010_Out_seg_0_cid_6
12294.116344522987,5,5,478.2,27.701263509089255,7.8383623869087735,13758,10988.92718181826,11506.0,11650,2027.690030081169,50327132663,11635.146364522852,11674.423842456921,2996498,11467.720196512493,11793.67804698972,440888,8869.26884439775,11062.873061666065,512062,117,0,123.37275700008122,132.32606941257748,55.12940728467856,22.09753188951459,8.463752472741271,25.059651406719986,27.458896241251363,0.9443812074327835,281.5726755337787,0.5101896863247005,0.8577787151899142,0.06262714854632755,787.8389865902209,242.01534470005197,0.8545757762768817,-0.5138010543199621,0.07555606647027323,2951.099479807024,123.38623844227868,-0.0969882805738307,-0.014971718232588553,0.995172910144009,4364.086577547765,0.9637063460681219,0.9835698807431701,211574,"[1, 4, 7, 10, 13, 16]","[0.0024983242942847464, 0.0010167960748817208, 0.00086915960972658, 0.0008066811279880666, 0.0007700267760797177, 0.0007441529739946718]","[229.57648574985635, 639.5136892442956, 812.4434842349744, 899.3351306682224, 974.6684605816371, 1050.3756049463823]","[0.8286659323443912, 0.47979333996270823, 0.3066782587095267, 0.25027683544047813, 0.21126789058286022, 0.15236662311982407]","[3.195482353544537, 4.5362335865841885, 4.843378568252376, 5.0019904455903355, 5.101126530793774, 5.189720536111352]","[0.000595088851877362, 0.00022827392442662021, 0.00018233852806104776, 0.00016159738441159975, 0.00014965160156663333, 0.0001404202526156124]","[9.500819082629944, 10.752391377574684, 10.961375784213086, 11.070712878914026, 11.13766260756684, 11.184446224002572]","[-0.3406467645615693, -0.09464929571764266, -0.04950053280573527, -0.03080762270063849, -0.021534873484585736, -0.01597015352772577]","[0.9866121127041031, 0.7868771614165222, 0.6213095243351189, 0.4995470477646253, 0.4154678151852107, 0.34670457773558583]","[0.31521987701775456, 0.13935076222736195, 0.11499345726670993, 0.10362277793168391, 0.09689148248409732, 0.09200743622530304]","[6.739923482187264, 6.5990760310837215, 6.520092520764523, 6.476372534885922, 6.44597445944935, 6.42239044963405]","[389.3633625357324, 391.56932476017084, 392.6248799597378, 392.8556255395581, 392.85868146227153, 392.8849365737925]","[2639.870678098131, 1958.8938999732288, 1644.7061675721466, 1572.2287677309919, 1540.5127476606397, 1461.553576998547]","[717.3617909619945, 649.6018973043806, 614.2874129517816, 617.8909745998026, 628.7953020605698, 627.9822954862343]",4579804,20181023_J01_010_Out_seg_0_cid_7
13599.46276049951,10,10,346.2,84.13655566993457,8.08114492091166,16429,11601.288842631113,12074.0,12248,1998.3036295661025,67598018587,12166.334330027661,12253.648498171508,4139350,11987.794609174749,12506.703678001388,469724,9299.359545134826,11078.791197882198,544513,126,0,140.0249222210323,143.55657887871973,56.818744113374684,22.681593503155316,8.49934546717795,25.409477352142886,28.80984835306676,0.9662488713190631,296.49060246264196,0.5643880027344408,0.8229050833096925,0.06552408894823887,969.5831633834409,256.3185170290293,0.8212129866016439,-0.5677668486819685,0.05700908852591186,3421.8752039214182,133.13284239238337,-0.08411547423772374,-0.021633987168684532,0.9962211389008708,4915.862060224764,0.9590170147821354,0.9803561114309355,242480,"[1, 4, 7, 10, 13, 16]","[0.002359753334967146, 0.0009387590851939715, 0.0007924481269842837, 0.0007323976211471337, 0.0006981248489161819, 0.0006743107437388984]","[136.97586020370287, 395.95935005624585, 523.282251889425, 599.5167461228575, 662.1118923099101, 720.3077401365249]","[0.8558720317724906, 0.5499001252453158, 0.3805075389095439, 0.30270622667644465, 0.248557940106209, 0.18422323761981405]","[3.124825491462024, 4.49270086141948, 4.844060232657187, 5.025851866207993, 5.136274393611204, 5.225097931621268]","[0.0006126422957224881, 0.00022912542641720433, 0.00017767038401202275, 0.00015511854002449294, 0.00014261096028405675, 0.0001336931887483161]","[9.556704720710313, 10.86699033909082, 11.120902286346283, 11.248981380791692, 11.323666106948897, 11.37367675575799]","[-0.35647571001821987, -0.10952754888061185, -0.05854918408105102, -0.03662711367606595, -0.02574478292117465, -0.019351145616339733]","[0.9896646205555583, 0.8274166730913186, 0.6709029566775189, 0.5461390828559852, 0.45716472156628074, 0.38821238312626255]","[0.3219756237624273, 0.13931223205668505, 0.11263678744540274, 0.10072340858255123, 0.09397408803505441, 0.08926839957520756]","[6.822416239397894, 6.689798020109884, 6.605609464496577, 6.555913455062783, 6.52309288095779, 6.499043248257451]","[326.8517886434596, 328.63458174181113, 329.5347567220907, 329.7906160649152, 329.81202836904987, 329.80566664339216]","[1875.1372963495623, 1443.829059449769, 1235.9649985579174, 1169.1732543051464, 1133.2804214593286, 1073.3138459243144]","[503.0282891383162, 459.94710237649997, 439.81181261182985, 442.17250010700224, 448.8480784423057, 448.4053965152128]",5826768,20181023_J01_010_Out_seg_0_cid_8
13580.408916358312,10,10,266.9,71.71394564518118,7.93223454814087,15728,11202.573198086431,11704.0,11823,1994.1745418527075,60500527193,11799.406326969638,11868.277472880847,3726713,11586.524894325688,11869.612690019829,464162,8997.637719519911,11155.768007787152,542149,126,0,140.0810607429704,150.12671944112793,58.940328023298186,25.2549583490015,14.669348020773176,26.56975627066654,30.202963102436357,0.9235491255027926,306.4758214399697,0.5396950515389407,0.8416127390428103,0.02042666946025168,784.4805412321914,261.56543510775964,0.8109306185845593,-0.5262301181254473,0.25587769465067045,3376.5967940519986,125.55169544015699,-0.2260990561378887,0.1215313139011346,0.9664933298036876,5192.923385323199,0.9726373157338876,0.9885234911791668,241196,"[1, 4, 7, 10, 13, 16]","[0.0033119788849911634, 0.0013788471208791286, 0.0011919169120616982, 0.001111139411032837, 0.001059270213113248, 0.0010195393430349011]","[166.00924714114083, 503.60358805961914, 644.7103919388136, 727.0774499595839, 795.6428173454616, 859.9331506991689]","[0.8525723158472659, 0.49603242142629345, 0.3330360822224685, 0.26402891586787985, 0.21597669279848242, 0.1559835530877026]","[3.0062822573723595, 4.355985980515082, 4.693511423160607, 4.872172257276121, 4.980295930474606, 5.0697495719996954]","[0.0006806953546768543, 0.0002650365328897189, 0.00021007097125466234, 0.00018524700082061496, 0.00017134381519355436, 0.00016102415415195792]","[9.1580184948283, 10.420507042539747, 10.65496234207336, 10.778208651379602, 10.854121394278867, 10.908221150376765]","[-0.3660925144217492, -0.11259997579236067, -0.06216250612458521, -0.03956067505001801, -0.02826468216567575, -0.021448967512298522]","[0.9891711370093745, 0.8237748873770616, 0.6753068590011936, 0.5557551023054311, 0.47282283280982856, 0.40903136679311053]","[0.35367657700599714, 0.1598509992408956, 0.1318229171978989, 0.11916686803417034, 0.11181448814208404, 0.10663067260378473]","[6.616079731682804, 6.471736094647431, 6.396871713138156, 6.356575201974199, 6.334927211670782, 6.322759384503381]","[339.71524212131897, 341.8634856901987, 342.80749980750994, 343.0893299351992, 343.137369634231, 343.1639123686858]","[2221.806026389306, 1619.0817802793206, 1378.1197882496758, 1302.7254390054384, 1264.4766024078854, 1198.340825269039]","[596.9538183826103, 530.671342084737, 505.707545047123, 507.4507222412562, 515.0298549383358, 514.5684939920536]",5400592,20181023_J01_010_Out_seg_0_cid_9
13370.723714716534,7,7,300.0,132.70375169634698,7.813304441944001,16090,11144.912535148147,11598.0,11672,1904.614942982621,56203125220,11684.825594149805,11756.560005530464,3513592,11510.079793956525,11819.543377365228,428065,9116.614586045831,10754.001795977012,491552,126,0,155.6353155103967,127.7779783221692,56.52903425382812,25.057250396619473,17.632488107392874,27.42072487497099,21.416371931075265,0.9524871242372427,320.32670331290376,0.8202866295189111,-0.5634474422440936,0.0982691470457211,902.2770417081383,227.08813821588265,-0.5562398863260504,-0.8258844884402197,-0.09226050408392128,2536.1128411767463,135.8940194073544,-0.13314290928354816,-0.021018838750645523,0.9908739446191364,5408.664507102087,0.9345729160468916,0.9859872533470804,223276,"[1, 4, 7, 10, 13, 16]","[0.0038925082173737724, 0.001630979194685584, 0.0014214152351892618, 0.001335993719507718, 0.0012855503715368728, 0.001249103217603565]","[148.32839532132306, 415.818513370842, 527.8844862593396, 588.0752318223132, 636.8957594201281, 684.3059509685397]","[0.8317475390226696, 0.4787507634670979, 0.30631737900258954, 0.24160842289542603, 0.20012661717229438, 0.1423041524262876]","[2.943405846536677, 4.273793855996699, 4.587754300914326, 4.746372167163978, 4.840010575853829, 4.919252939251003]","[0.0007050256997643678, 0.0002770378671912674, 0.0002222984499349455, 0.0001983719598641511, 0.00018525395547538064, 0.00017553790380123613]","[8.912116654099126, 10.146382558838313, 10.35263992362535, 10.454787389712854, 10.514940435069967, 10.55610903043317]","[-0.3523559547135413, -0.0953898483129244, -0.047792059152157354, -0.028475910040856096, -0.019570598502702194, -0.014520519402319066]","[0.9854799482308293, 0.7746669717622974, 0.597560184438904, 0.4661197136339549, 0.3806872270490539, 0.3164883447589733]","[0.3623019023793759, 0.1650809187503876, 0.13745898472510024, 0.12500628301779312, 0.1180533235382321, 0.11317804882585826]","[6.4202267972273255, 6.260079985575349, 6.174743338934807, 6.130838423898657, 6.106166451792548, 6.091239888558538]","[323.96966835326964, 325.7781311127658, 326.6149957967151, 326.8372135230924, 326.86362380005414, 326.9019511693002]","[1719.6707758672956, 1250.0488734146459, 1049.8658382598446, 996.6755291689008, 974.8721738262102, 925.6086898341287]","[466.9997927971532, 416.46684669636977, 394.43758112979606, 396.18769024779976, 402.94198331158594, 402.47866020067016]",5042940,20181023_J01_010_Out_seg_0_cid_10
